"Variable","metric","p","pipeline"
"L.Hippocampus","rocauc",0.003996003996004,"GLM_AllAdjusted"
"L.Amygdala","rocauc",0.924075924075924,"GLM_AllAdjusted"
"L.Accumbens.area","rocauc",0.985014985014985,"GLM_AllAdjusted"
"L.VentralDC","rocauc",0.602397602397602,"GLM_AllAdjusted"
"R.Thalamus.Proper","rocauc",0.362637362637363,"GLM_AllAdjusted"
"R.Caudate","rocauc",0.996003996003996,"GLM_AllAdjusted"
"R.Putamen","rocauc",0.693306693306693,"GLM_AllAdjusted"
"R.Pallidum","rocauc",0.651348651348651,"GLM_AllAdjusted"
"R.Hippocampus","rocauc",0.927072927072927,"GLM_AllAdjusted"
"R.Amygdala","rocauc",0.737262737262737,"GLM_AllAdjusted"
"R.Accumbens.area","rocauc",0.0719280719280719,"GLM_AllAdjusted"
"R.VentralDC","rocauc",0.028971028971029,"GLM_AllAdjusted"
"L.Thalamus.Proper","D",0.86013986013986,"GLM_AllAdjusted"
"L.Caudate","D",0.305694305694306,"GLM_AllAdjusted"
"L.Putamen","D",0.96003996003996,"GLM_AllAdjusted"
"L.Pallidum","D",0.335664335664336,"GLM_AllAdjusted"
"L.Hippocampus","D",0.167832167832168,"GLM_AllAdjusted"
"L.Amygdala","D",0.918081918081918,"GLM_AllAdjusted"
"L.Accumbens.area","D",0.869130869130869,"GLM_AllAdjusted"
"L.VentralDC","D",0.731268731268731,"GLM_AllAdjusted"
"R.Thalamus.Proper","D",0.812187812187812,"GLM_AllAdjusted"
"R.Caudate","D",0.938061938061938,"GLM_AllAdjusted"
"R.Putamen","D",0.297702297702298,"GLM_AllAdjusted"
"R.Pallidum","D",0.878121878121878,"GLM_AllAdjusted"
"R.Hippocampus","D",0.887112887112887,"GLM_AllAdjusted"
"R.Amygdala","D",0.758241758241758,"GLM_AllAdjusted"
"R.Accumbens.area","D",0.456543456543457,"GLM_AllAdjusted"
"R.VentralDC","D",0.0959040959040959,"GLM_AllAdjusted"
"L.Thalamus.Proper","rocauc",0.553446553446553,"GLM_Unadjusted"
"L.Caudate","rocauc",0.00799200799200799,"GLM_Unadjusted"
"L.Putamen","rocauc",0.823176823176823,"GLM_Unadjusted"
"L.Pallidum","rocauc",0.847152847152847,"GLM_Unadjusted"
"L.Hippocampus","rocauc",0.030969030969031,"GLM_Unadjusted"
"L.Amygdala","rocauc",0.855144855144855,"GLM_Unadjusted"
"L.Accumbens.area","rocauc",0.916083916083916,"GLM_Unadjusted"
"L.VentralDC","rocauc",0.376623376623377,"GLM_Unadjusted"
"R.Thalamus.Proper","rocauc",0.424575424575425,"GLM_Unadjusted"
"R.Caudate","rocauc",0.012987012987013,"GLM_Unadjusted"
"R.Putamen","rocauc",0.413586413586414,"GLM_Unadjusted"
"R.Pallidum","rocauc",0.697302697302697,"GLM_Unadjusted"
"R.Hippocampus","rocauc",0.832167832167832,"GLM_Unadjusted"
"R.Amygdala","rocauc",0.679320679320679,"GLM_Unadjusted"
"R.Accumbens.area","rocauc",0.0959040959040959,"GLM_Unadjusted"
"R.VentralDC","rocauc",0.310689310689311,"GLM_Unadjusted"
"L.Thalamus.Proper","D",0.417582417582418,"GLM_Unadjusted"
"L.Caudate","D",0.143856143856144,"GLM_Unadjusted"
"L.Putamen","D",0.67032967032967,"GLM_Unadjusted"
"L.Pallidum","D",0.442557442557443,"GLM_Unadjusted"
"L.Hippocampus","D",0.046953046953047,"GLM_Unadjusted"
"L.Amygdala","D",0.82017982017982,"GLM_Unadjusted"
"L.Accumbens.area","D",0.808191808191808,"GLM_Unadjusted"
"L.VentralDC","D",0.275724275724276,"GLM_Unadjusted"
"R.Thalamus.Proper","D",0.200799200799201,"GLM_Unadjusted"
"R.Caudate","D",0.253746253746254,"GLM_Unadjusted"
"R.Putamen","D",0.290709290709291,"GLM_Unadjusted"
"R.Pallidum","D",0.802197802197802,"GLM_Unadjusted"
"R.Hippocampus","D",0.7002997002997,"GLM_Unadjusted"
"R.Amygdala","D",0.828171828171828,"GLM_Unadjusted"
"R.Accumbens.area","D",0.204795204795205,"GLM_Unadjusted"
"R.VentralDC","D",0.413586413586414,"GLM_Unadjusted"
